image_path,text
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\0.jpg,z _ { 1 } = r _ { 1 } ( \cos \theta _ { 1 } + i \sin \theta _ { 1 } )
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\1.jpg,\log z = \log r + i ( \theta + 2 n \pi )
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\2.jpg,2 1 - 5 \sqrt { 2 1 } + ( 1 5 \sqrt { 7 } - 2 1 \sqrt { 3 } ) i
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\3.jpg,( ( 5 6 \times 5 2 ) \div 1 3 5 ) + ( 3 4 - ( 7 4 \times 9 2 ) ) \geq - 6 7 5 2
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\4.jpg,\log _ { 2 } 8 + \log _ { 3 } 9 + \log _ { 4 } 1 6
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\5.jpg,\sin x - \sin y - \sin \left( x - y \right)
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\6.jpg,\frac { \tan \alpha - \tan \beta } { 1 + \tan \alpha \tan \beta }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\7.jpg,\frac { 2 \tan \alpha } { 1 - \tan ^ { 2 } \alpha }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\8.jpg,\lim _ { x \rightarrow - 1 } \frac { x ^ { 3 } + 1 } { x + 1 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\9.jpg,1 + \frac { 1 } { 1 ! } + \frac { 1 } { 2 ! } + \frac { 1 } { 3 ! } + \frac { 1 } { 4 ! }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\10.jpg,\lim _ { x \rightarrow \frac { \pi } { 2 } + 0 } \tan x = - \infty
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\11.jpg,\int \left( 2 ^ { x } - 3 e ^ { x } \right) d x
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\12.jpg,\frac { 1 } { a } F \left( a x + b \right) + C
